####### 2022/06/22 ~ 2025/05/30 #######
# 僅移除重複字串
# https://www.facebook.com/groups/1141798046611751/user/100001471821039/
香港Web3.0 m.qgqhbv.cc
XM Group www.ftmhi.com
ETH Mining www.laydefi.com
Zeal Capital Market Limited zealmarketfx.com
RTFB www.vtnb606.com
台灣電力公司 ebill-update.info
BDOX www.bdoxex.com
B3 www.venvirtx.com
YSHX www.yshx-fx.com
BITEXLIVE www.bitekrc.com
ARMADA trade8.armadaotas.com
佰樂納 mbekgac.xyz
YDX www.ydxprodefi.xyz
AG 尊龙凯时 www.zl6.co
AG 尊龙凯时 www.ag8.bio
AG 尊龙凯时 www.d5289.com
AG 尊龙凯时 www.d3897.com
AG 尊龙凯时 www.d3826.com
AG 尊龙凯时 www.j6r3fc.com
AG 尊龙凯时 www.qxw4w4.com
AG 尊龙凯时 www.ramjyy.com
AG 尊龙凯时 www.uj9dz9.com
AG 尊龙凯时 serhg.comregister
CoinToken www.cointoken.live
World First Defi www.v2-eth.com
Crypto cryptomaxc.com
FAMEEX fameexurd.com
Tickmill Limited tickmtop.com
fireblocksebs www.fireblocksebs.com
Eurasian欧亚国际 www.88999118.com
運盈 www.owaoigfh.com
盈昌 www.sjjclw.top/h509
IPeen ipeenec.com
TSD www.tsdyoug.com
GLATFE gocted.glatfese.com
VITEX vitex333.top
華隆 www.ndiuni.com
BNP PARIBAS h5.ry5b5mmj.com
裕萊 app.odfhdff.com
Crypto bstmarkusdt.com
Generative ART www.gendaxawatasgcweal.com
CDC www.cdcamge.com
Go Markets gomarkleadfex.com
永興e點通 m.wocrdr.top/h509
MATIC www.matichk.com
京東商城 jd-gogo.com
AZBIT azbitjid.com
Bitaza bitazavmi.com
美好 app.axkjgfbd.com
FxPro（FxtroTrade） fxprkyc.com
和鑫 www.euyhgfg.com
ARMADA www.armadaotas.com
Super Pro www.supervdx.com
德億國際投資 m.ufksyk.top
上海期貨交易所 shjys86.com
Phemex www.phemexproe.com
Bitstamp www.bitstampktx.com
Shop購物網 tw7.shopckk.com
AZT aztradec.com
UEV User+ www.uevuser.com
FEex feex.cc
OKX m.nhyjkmik.com
WeCash dgone.pleroma.cc
投資股票線上視聽 live.ahahf.com/rk/vip5
Gate.io gaifunq.com
imTron cohen.imtrom.com
亞鉅 asia.yajhbtae.com
Zuigg app-download.mitokenex.com/zuigg
FSX www.fsx-vip.com
King www.kinginfo.cc
TANAKA hre.tanakaol.com
天利 www.ckvfkqjwuje.com
任遠 d.gdrok.top
OAK操盤 www.tttwvstock.com
Vantwnow www.vantwnow.cyou
Costco www.costcocolor.com
Trend（英仕曼遊戲金融化） www.trendgcv.com
匯鑫賣場 huixinstore.com
Walmart www.walnart.store
科興（SinoVAC） www.svakx3.top
UBG紀 www.ubggies.com
Uswap Tube www.utubedha.vip
AISMEX aismexd.com
StarExchange www.starexchangey.com
MetaMask hs2016hs04.top
Hotcoin www.hotcoinae.com
KNNEX www.knnexd.com
GPT gptcity.co
BIT www.bestbeo.com
Gushops gushops-asia.com
口袋證券 m.sqooh.top/h509
福邦 www.dhfdjjs.com
大華繼顯 app.hkcp75.cc
Coin Exchange www.coinqmgf.com
六和 m.itezjq.top/h509
Fucoin www.funska.vip
JunosterFX www.jinosterfx.com
朔方科技 hunter.sfsoaoter.com
CrossGlobal Shopping crossglobalshop.top
紐約梅隆 www.weasfstggh.com
Coinbase www.nsdhexvip.com
Bitsheng www.bitshengems.top
PU Markets Ltd www.topuma.com
Reef www.reefibl.com
Kraken www.krall-ken.com
Coin Dax www.coinsri.com
KAVA www.kavatsimaxpro.com
Lgoo購物 lgoo-gou.top
蒙特卡羅國際 www.mtklgj.com
BCK bckavip.com
Etoro myth.etorotes.com
Wallet www.walletfuturepro.com
XTZ xtzsxz.com
Zalando www.zalandoshops.cc
Plus500 www.plustsipro.com
Block Chain www.ybiaktsxc.com
Manis Exchange zhong.seagensyer.com
Mltiabe www.mtt-aab.com
天貓 square.9255139.site
MOXC Global www.moxcsel.com
Johnson www.johsonmarketpro.com
道富金融 dfxghq.online
MyCoin mycoinps777.net
璋霖 app.iuwge.top
NYSE app.nysefy.top/e83czz
Alle Mall allemall.com
亞東證券 app.bkgnxjneknwq.com
Optimism www.optimismtsiplus.com
Oracle capitalgain.oracven.com
Paribu www.parxtoo.vip
淘吉吉商城 m.taogg.store
Cointw www.kucointw.cyou
Peicheng peichengstocks.com
萬興證券 banhinstock.com
The Shop gothe.shop
Tian FX www.titanznse.com
Etherscan www.ethtsi-max.com
Tickmill twtickmillck.xyz
Boniry boniry.cyou/h5
CoinW www.coinw-max.com
銀獅證券 silverliontrades.com
摩根大通（JP Morgan） m.meg990.top
Genesis Block sky.genesbo.com
濱海灣金沙集團 bhwjs138.com
寶旺 800.baowang5788.net
Genting Casino gentingclub.cn
OKX m.thkptyh.com
Uniswape（Uniswap） uniwaiop.cyou
花旗集團 hqpot228.com
IUBS ubsexgc.com
信康 www.ycnbjdfa.com
Vantage user.vantagesfx.com
BitFinex bitfnex-exa.com
KG娛樂城 kg1688.org
GMALL內部營銷平台 www.drbbrb9.com
VivoCity www.spvivocity.com
海淘內部營銷平台 www.hg863k.cn
Walmart www.walnart.store/h5
CrossGlobal Shopping crossglobalshop.vip
茶百道 jingdianlaocha.com
Citibank www.citibkpro.xyz
KTKGY vsw.kekgy.club
Woodmart www.jjurese.com
國際福彩 gjfc633.com
Xitcue ser.xitca.site
BYBIT www.bitbyai.com
Clarins clarinsmas.xyz
Lasalle Current Assets Management sss.lasajave.com
YSEX www.ysexcoin.net
富登投資 www.fdinvest.net
GPT 5.gptgroup88.com
匯東投資 www.feinvestmen.com
LOTKGT odtie.lotkgt.work
Grayscale grays-pro.com
萬金城 w1n.goldenc1ty588.net
Bitcoin mobile.bitcrypt0.top
MetaBit MetaBit30.mettbit.com
BNP PARIBAS h5.ejpdlgv6.com
Huiying whh.huitsbs.com
水星娛樂城 yh777.mercuryy1357.com
福邦 www.jxhjvhhjhhqj.com
福匯金融 www.kifrg.com
CVV www.coinvvv.com
維也納 www.vien666.com
HUT8 app.hut8cz.com
永豐證金 sfhcsec.com
NSD www.nsdfjioe.com
兆豐金控 www.mgs1788.vip
DESK deskaq.com
澳門金沙 sands558.com
Bits app.qianff14.xyz
藍鯨商城 www.lanjingmall.com
轉轉 prozhun.com
寶源金控 www.imq3vuml.com
imToken m.imtoekn-tw.com
EYINGLI app.eyingli.com
StarExchang www.starexchangeit.com
T9娛樂城 opgg3327.t96666.com
FEex www.feextop.top
沃爾瑪 walmant.club
Coinnation tcaa.cnaacoignn.com
Coin Nation is.gdbqAh07
CME Group cme-groupex.com
S​h​o​p​e​e webapp.zglxb.com
lido lidoanq.com
yieldfarming www.yieldfarmingp.com
ALIGNED www.alignedapp.life
ANE www.anevip.com
SONNE sonnein.com
NewEx wz.newexbtc.com
Bitkonan bitkonanbry.com
lejupoint lejupoint89.com
富士金业外汇交易所 fujibullion.cc
Etherscan www.ethrunplus.com
Blockchain encryption.bet
YX GAME www.yx11.com
Securitys m.securityplatf.com
聚善公益 welfare168.online
聚善公益 welfarebetter.shop
AliExpress ale1688.com
雲興國際資本 www.icocj.com
CEX .IO cexapp.yanma888.com
MGM美高梅 mgm000006.com
永利MACAU vnb669.com
Idex-Crypto idex-crypto.com
FANG www.fg5000.com
BFFDC bitcoinsoptions.com
CM www.cmuspros.com
HappyGo www.happygo.life
Coinpalm coinpalm.com
myaid www.myaid.top
ZousMarkets www.zousdzx.com
OKX PRO www.okxbiz.pro
DFI.Money www.dfi-moneyah.com
ASAIMARKET www.asaimarketltd.com
SpreadEX spreadexfx.com
Oasis Power Energy（global）Trading Center www.petsoasis.com
Eleph-Exchange www.szfcda.com
Loboexz loboexz.vip
FXopen ev3.ccfxopen.com
家樂福 Carrefour TW www.carrofoumarts.shop
coinatpool coinatpool.com
gmarket-go www.gmarket-go.click
博马国际 bm54791.com
ViteX vitex222.top
BBANK www.coinsdbank.top
鎮南石油 www.staioiled.com
ZousMarkets www.zouscikj.com
ledgiit ledgiit.com
Global m.global-coin.xyz
Crypto .com www.crypto-terming.com
Temaket Information Limited pc.tg-makets.com
Defi ethdefi-mining.com
Trxcnio www.trxcnio.com
kcoin www.kcoinhome.com
Thomasnet www.tmsan.com
HFM hfmpm.com
Optimism www.optimismrunpro.com
Mine Activation mineactivation.com
LMEX www.blmexf.top
好玩娛樂城 www.hw16555.net
SAT多元中心 www.satbfdx.com
CME coinme888.cc
中信证券 svip.t.ubisstred.com
justbecauseimetyou www.justbecauseimetyou.com
上海期货交易所 vip.shjys86.com
海崴投資 m.sryhf.top/h509
CDC cdcamop.com
ARMADA trade8.armadaoter.com
聚祥 app.dsuyreitr.com
Coin Dax coinsri.com
Crypto bstmadasutd.com
VirT-X www.znystoken.com
Trend（英仕曼遊戲金融化） www.trendcsx.com
Reef www.reefbifd.com
SF science and technology htps.sfsoaies.com
MATIC mekxas.com
SAT多元中心 satmpoma.com
OAK操盤 www.ttwvstock.com
裕萊 www.fbgfhhjjj.com
Cointw www.kucointw.xyz
嘉利證券 carriertrades.com
AZBIT azbitcsz.com
AZT aztradedb.com
Bitaza bitazafji.com
Bitlo tsgtw.bitlo.site
FSX www.vipfsx.com
啟發 m.ltsly.top/h509
國票超YA m.imlsz.top/h509
GIA yyy77.btfinnebal.top
鼎成投資 m.tcxjte.top/h509
天貓 square.9086659.site
FXCM www.zniang.top
Shop購物網 tw8.shopjjj.com
第一資本 www.xbvhjgfg.com
美國那斯達克交易所（Nasdaq） caiseqiu.com
Gate.io gaifunn.com
京東商城 jdc2c.com
Huobi nnds.hingx.live
新葡京娛樂城 a.etimtoken-3.xyz
福恩投資 www.ydfghghh.com
KNNEX knnexse.com
BingBon bbonmarket.com
MKAD fg.mkaddgov.top
高匯金融 igomarketing.net
PU Markets Ltd www.bravepuma.com
TikTok Mall（TikTok購物商城） tw.totkshop.com
創優富 app.cbvchgbr.com
德億國際投資 m.ufksyk.top/app999
永興e點通 app.wocrdr.top
臺灣期貨交易所 0551115.com
Amazon 9598090.com
Polyx www.polyxit.com
惠理高息 www.hjfgjfgh.com
International Finance internationalc.finances.tw
MyCoin mycoinps667.net
萬匯 wanhuiss.com
BITEX www.bitewtx.com
HSBC www.qhdjffhgh.com
GOPAX gopxaky.com
KAVA www.kavatsipro.com
OTTO mall m.tmallbuy.xyz
PCHome justuspc24.com/2r9q41t
Huizhi Rongli cpds.huizhirongwt.top
imTron cohen.imtrone.com
遠航證券 www.tcwyvh.com
六和 m.qmntkq.top/h509
Edc world paxos.vip/h5
Mxex Global yichedao.top
理財E時代 app.pdaneb.top
Optimism www.optimismrunpromax.com
永豐金融 www.yfhkjr.com
CoinEX m.coinexen.vip/h5
旭盛國際投資 m.yfnvkr.top/app999
Ptt Shop www.prettyshop-my.com
LMEX www.blmexh.top
Rootrex www.rootrexinfo.top
SGXEx sgx.exaschange.com
柏鼎 www.ruhrqwyehs.com
藍灣國際 m.fh17888.com
FC www.fcoecxe.vip
EtimToken www.etimtoken1.com
股市大咖秀 www.at191.com
PAMPA Pro pampapro.org
泰聯 d.jbuhcu.top
EllandRoad www.ellandroadcapital.capital
Ploexiw dfrtge.ploexiw.com
德美利證券 wan.yiook.com
Plus500 www.pluspof.com
Flipkart likantnet.com
阿里郎唱片 www.amazo-shop.com
PoutineX www.poutlinbep.vip
KC www.kcresoes.com
CoinMarkets www.coinmarketcaps-us.vip
紐約梅隆 www.lhgjhijhj.com
Rocket Pool www.rocket-poola.com
Manis Exchange www.seagensyer.com
Miravia miravia.me
Nabox Liquid Asset Management bts.naboxle.com
Alcoa syf.alcoae.com
Sftimo www.sftimobs.com
金沙娛樂（金沙國際） m.js166888.com
Shope蝦皮購物 www.sshopgivebacknow.com
Sntrex sntrexoi.com
SPARK www.sparkcommunityfi.com
Speedwind www.cabwinspee.com
DigitMin icrowncenterga.top
國際彩站 www.gjfcwz.com
戀人 https://clurth5kjzcs.com:6062
Broadridge www.cdpufj.com
ECb2bShop www.jamercari.com
GDAC d.gdacgk.top
華碩國際 hs.dakappart.com
MANEL dcoare.manelx.com
資豐e點通 app.lsdmejnqhn.com
理財E時代 app.ivdhhg.top
ECb2bShop www.temujp.com
勝通國際 www.stgjpt.net
Tbshop www.zxcx.cc
TDCX gocted.tdcxyers.com
Textdiy app.tcpake.com
LCEF net.lcef2023.com
COMEX comexwallet.com
ETH ethcoinmar.com
ATEX www.atexns.cc
TIDEX tidex.top
德豐國際 www.defeng889.com
澳門永利彩 1.8m6.cc
鎮南石油 zhe.staioils.com
TNCN twt.tncnercer.top
戀人 boj05o0ln2b4.com:30389
Toastpay www.toastpay.com.tw
BCTT bcttal.com
GMALL內部營銷平台 www.aqw886.cn
Castillo www.adfxpro.com
旭盛國際投資 m.jfmolw.top
Exness exneser.com
宏卓國際 www.viphz888.com
京東金融 www.jdjr.tw
UBG紀 acq168.ubggi.com
尚豐金屬有限公司 obp.herfond.com
股市研訓班 muysas.top
CME www.cme110.com
柏林證券（XBER） www.kfgbfhgfg.com
USDT-Miners usdtmineral.com
柏鼎 app.ocaiwkjemq.com
USOIL sss.difiroxe.com
UUEX www.uuxekop.vip
家樂福 www.carrefourmart.shop
AISMEX www.aismexq.com
AME www.ameiat.vip
CEX.IO cexapp.net
FSX www.fsxex-otc.com
Kangbo www.kangbo.xyz
唯品會 tw.vipsije.com
Wirex m.cloudwirex.com
WM Casino swin99.org
得物 dewootw.com
CoinMax coidirek.com
KNNEX www.knnexcr.com
XTN xtnapp.com
Kraken www.kra-exken.com
匯鋮 m.hcvty.top
YEX-BE yexbe68.com
YUEME yueme.com.tw
Coinsafe coinsafeal.com
運鴻 www.bvbfdbg.com
ZFX we.zfxs.vip
鼎昌 app.admvkgld.com
ZousMarkets www.zoussxz.com
ZTB nxqec.mthcknx.com/6q9wh
嘉盛外匯（Forex） www.dlodq.com
上海證券交易所 www.98021061.vip
丹東藏芥種植合作社 www.shopvipgiveback.com
Generative ART www.gendaeaertxagcweal.com
德美利（TD Ameritrade） td.bitcoinacme.com
CTRL FX www.ctrl-fx.com
GHGW www.oqclx.com
仕事?入?口 www.winstondaikon.com
代理教學工作平台 learn.gaworkweb.com
豐盈資本 tw.shikong.cf
台銀國際 taiyin.vip
MetaCoin makerdpp.com
CitCoin www.citcoin.top
GLFXM glfxmglobal.com
Mexbit www.mexmexcoin168.com
永碩 app.gnfjkdhg.com
Synquotes trader.synquotestrader.com
宏卓國際 www.viphz996.com
Safepal ethereum-dao.org
永利皇宫WYNN PALACE a.ylhg99.xyz
RBC coinrbck.com
DDEx ddexcui.com
OYO www.oyo666666.com
LOTKGT lotkgt.work
Azbit www.azbitcsz.com
Alibaba Group www.albbsh19.xyz
Bitaza www.bitazauid.com
UP任務網 www.appggmme.com
KcoinOnline www.kcoinfoot.com
UKEX ht.ukexqi06.top
MetaCoreMax www.metacoremax.club
XproMarket xpromarket.uk
GO Markets wer.rjhcjd.top
HERO hero123.cc
WTH www.wthbevy.com
octaprotraders octaprotraders.online
ACENT www.acentcoin.pro
Paradigm Capital paradigmct.com
Coinbase www.coinblines.com
MCIE mciebitss.com
CBALL www.jaydefi.com
Droids on Roids droidsonroidsdata.com
BAC bacglobalcapital.com
海崴投資 m.ytevd.top/h509
國票超YA m.tvxcn.top/h509
六和 d.gmkcz.top
FEex www.feexinfo.xyz
盈昌 www.lirxyl.top/h509
運盈 www.wtrhwgf.com
任遠 m.hsiyn.top/h509
Crypto bstocgsmart.com
長和 app.didisdbg.com
ARMADA n.armadazes.com
鼎成投資 h.nduve.top/h509
Jobscoin arexr99.jobscoiineszs.com
MATIC www.mekxem.com
欣誠 www.dfuidhs.com
VirT-X www.tretoken.com
Trend（英仕曼遊戲金融化） www.trendjio.com
TANAKA waa.bcvgold.com
IPeen ipeenbb.com
IUBS www.ubsexgc.com
OAK操盤 www.twvstockk.com
FXCM www.global-fh.com
惠理高息 app.xkjdqiwhea.com
THA娛樂城 www.bv66.net
Amazon a.mazonshops.com
TRX www.trxewmv.com
BITEX bitewtx.com
LOTKGT odtie.lotkgt.shop
GLATFE lotiden.glatfe.com
DESK deskef.com
DFJ Bitcoin cryptobch.xyz/vBPd6hra
Etoro myth.etoroes.com
BitCoins bitchawe.com
Peicheng peichengllc.com
FxPro（FxtroTrade） www.fxprotw.tw
Vantage user.vantagesmarket.com
寶源金控 h5.m2rso9uk.com
VITEX vitex111.top
海外樂購 hw-legou.vip
SAT多元中心 www.satmkart.com
高匯金融 igomarketss.com
源通 www.ufbgjhhh.com
Cultivate cultivate667.cultivaterege.top
Sotheby's www.puerstea.live
eBay www.ebay-tw.click
Super Max www.superkenc.com
Etherscan www.ethtsiplus.com
BYBIT www.bybithtmls.com
Bitstamp www.bitstampkoh.com
TOKO Shope Ecommerce www.tokoshopeom.club
LMS系統 www.lmstaoes.com
MANEL gocted.manelies.com
BCK bckivip.com
FF波動率 ffc3.volatils.com
Chaince www.chainceex.com
Optimism www.optimismcool.com
Coin Nation zhtw.coinatoneion.com
BitcoinX bittokenvds.com
璋霖 dl.vsihe.top
Walmart www.walmant.top
KAVA www.kavasun.com
LaSalle Current Assets Management bts.lasajvi.com
GOPAX gopxain.com
ZB www.zbviee.vip
MaiCoin www.maicoinsun.com
ZeusMarkets www.zeusjio.com
益惠良品 yihui-shop.com
HFM www.stgdck.com
MDBF www.mdbfns.cc
天利 www.ndfgjfgj.com
Huizhi Rongli espi.huizhirongli.top
DC m.token-dc.com
永利皇宮 m.ylhg2626.vip
Bitbank www.a8de.site
永興e點通 l.dgjgm.top
imTron xzavier.imtrone.com
DigiFT www.digekucv.com
同信 www.vhbcfvh.com
CoinEX m.kexni.com
SF science and technology www.sfsoaies.com
Shop購物網 tw46.shopckk.com
京東商城 jdvvip.shop
Global PayMents（Thunder Soft、RB Global） www.jsforex73.com
經證證券 jingzhengllc.com
Huiying wkk.huitcash.com
凱瑞金融 www.mtkrjr.com
MRE mreew.com
住友金屬礦山（Sumitomo Metal Mining） www.jpzymetal.com
DBG m.dbg-coltd.com
柏瑞 m.hejlho.top
918博天堂 www.ts775.com
OKEX okex004.com
KucoinPro www.kucoinpros.cc
DD-BTXPro dd-btxpromax.org
LSE（London Stock Exchange） www.lsekeysbatch.com
Ouger Shop www.ouger-mall.com
Debank DEX www.debankduo.com
Go Markets gomarkleadfx.com
Deer valley mer.deervly.com
阿里巴巴 albaba.yhj16688.com
International Finance ifstw.icu
國藥控股 gyym212.com
Bitsheng www.bitshengas.top
Kopromax www.kobexchange.xyz
R&S Shop www.rs-shop.club
新葡京娛樂城 m.kqxs323.xyz
AMZ內部營銷平台 vbhk.bcxsg.social
Reef www.reeftrc.com
ADMFX www.admfx-vip.com
Richbit bittopapp.com
蔓莎購 shop.mansa.site
Rootrex www.rootrexexx.cc
蘇寧易購 dcm.suning-mart.com
RTFB www.hhkl6868.com
立學 www.cbnmvhfg.com
BCR www.cuiaethebcr.com
安拓（Amtop） m.am-topfx.com
DFX dfx.dcbc77.com
Brasken www.braskiewn.com
SRE www.sre-ex.com
Illuminati Markets illumfxs.com
ST5 app.st5s.com
SumSwap sumswap.pro
ACENT acenteex.com
BTC sedfw.abb-mgs.com
茶百道 tea.buyshop168.com
Coinmama www.coinmamausdt.com
Huiying wkk.huitrxch.com
亞鉅 asia.yajhdb.com
Vbit www.vbins.vip
CoinW www.coinwskill.com
VDL Global www.vdlglobal.tech
Bitlo tsgtw.bitlo.space
金沙娛樂（金沙國際） cc.25380.net
阿里郎唱片 music.oc-coin.com
Ice-snowmall ice-snowmall.top
柏瑞 m.tvwbpm.top
LTG GoldRock m.ltg-goldrocka.com
WTH www.wthakxe.com
MaiCoin www.maicoincase.com
Coinnation tcaa.coinatoneion.com
FANG www.tyvx8.com
IUBS ubsexgw.com
泰富 m.telp.top/ki90
YG Gaming 0115.yggaming.net
Yobit www.yobitpros.com
紐約梅隆 www.oosfudf.com
ACENT acenttw.us
Yobitin www.yobitin.com
YSex www.ysexcoin.com
奢侈品代購商城 gw2.sogohk.tw
YSHX yshxwold.com
FP Markets m.fpmarkpro.com
統一證券 pscsec.com
ZeusMarkets www.zeusiie.com
Muster Shop www.mustershop.com
富邦信貸 jytqbmvw.cdn.tt.hlxap.com
惠理高息 www.wwohaha.com
Bitaza www.bitchope.com
工作室資訊 live.cwwwgh.com/rk/vip5
華南國際 www.huananglobal.com
中國保利集團有限公司 www.reghrh.cn:64636
華隆 vkfikheuw.com
雲興國際資本 www.hfynl.com
新託邦購物 bestinlansing.com
Coinsafe coinsafex.com
新葡京娛樂城 m.ylhg85.xyz
Amart amartmall.com
祺昌證券 keecheongstock.com
K.C.資源平台 www.kcreso.com
裕萊 www.bdugbfh.com
天貓 square.9087721.site
CKB www.kdaxs.vip
世灝證券 szehope.com
嘉利證券 carriermarkets.com
北亞石化 gmt.andeavor.co
福恩投資 www.saodisof.com
CME www.coinme-a.com
Aide Fincen LTD fxgenting.com
Crxe24 m.crex24d.com
永利皇宮 a.ylhg85.xyz
Best Buy bestbuysline.com
領峰證券 zenithasian.com
禾健金屬有限公司 mer.zwnflom.com
CoinList www.coinlistusdtzd.com
仲良投資 zhongliang.1898ll.com
TOKO Shope Ecommerce www.tokoshopeol.com
SAT多元中心 www.satmltey.com
SF science and technology cng.sfsoeitres.com
螞蟻財富 alibaba18.vip
Shope蝦皮購物 shopeepro.xyz
豐裕 zxmcaukjenq.com
Shop購物網 tw21.shopckk.com
戀人 ecacbwcxgvll.com:6068
StormGain m.storginpt.com
whalesventures whalesventures-platforms.com
8V www.eightvzt.vip
OPENSKY a.opensky.live
GLATFE wwwa.glatfe.com
OKGold m.okgoldvip.org
Excalibur www.excaliburib.com
FX fxoproxx.com
MaxCoin vdvdv.1fx9eni.shop
UKEX hit.ukexqi01.top
UKEX hot.ukexqi02.top
ERC ercl0.com/
ULTRADX Exchange ultradx.net
POX www.p-ox.com
Ethera w.etaptai.com
Jubi jbglobal-ex.com
idleinn net.idleinn.com
Philos and Partners www.philospartners.com
Coindex coindex.shop
Tea‘s Buyee www.puertea.live
Bitaza www.bitazafji.com
Turbine trade LTD www.turbinetradeltd.com
Thomasnet www.tmsmk.com
ehcvr ehcvr.top
快速燃烧脂肪 nctyt.info
Wintermute wintermute.win
bestbuy www.smcitycn.vip
interstellar interstellarpremiumvip.life
Globalpayout globalpayout.net
NACICION nacicion.com
Cryptocurrency cryptocurrencyexm.com
Angela cs.hnsgjr.top
DFS aznzqfc.com
TR itradeable.com
商品展示 nctyt.info
CoinToBee cointobee.com
BTF GIA ch99.btfinnebal.top
OYO www.oyo888888.com
XM Group www.mghpl.com
VirT-X facstoken.com
AIBC aibchk.com
台灣理財快速貸 tw.lcksd.top
VIODA viodabankrate.com
Zalando Shop www.zalandoshops.com
K4G k4g.av389.top
GSR www.gsras.com
Morrison Mall morrison.bar
Alpha Premium Fx alphapremiumfx.com
WECAS 168.pleroma.cc
CrossGlobal Shopping crossglobalshop.com
Dremata www.dremataose.com
Treasury treasury6.com
澳門銀河娛樂有限公司 yinhe209.com
ETH Mining liquiditypoolflow.com
Shope蝦皮購物 me.shoppme.skin
7-Eleven chat.7-eleveniuk.co
Aemilius Cupero aemilius-cupero.com
Binance top4h5.xcmud.top
Binance link.tcxqt.top/sft0
HFM hfmq.club
AEX安银官网 aex-china.com
沃爾瑪 www.walmant.org
DG Consultant donaldgallagherconsultants.co
Melalui mitra.bukapopularitas.com
OAK操盤 twvstockk.com
imperace www.imperace.cc
COINOB www.obc.ee
海崴投資 m.anixh.top/h509
盈昌 www.nrbdzx.top/h509
DESK deskjg.com
啟發 m.hmmnw.top/h509
國票超YA m.snklp.top/h509
GOPAX www.gopxaky.com
OKX okxnio.com
KAVA www.kavalamb.com
鼎盛 app.sggderg.com
ARMADA financial.armadaz.com
Ueplus Markets www.uepluoareos.com
Cointw kucointw.site
Kraken www.kra-globalken.com
運盈 www.bcvngfji.com
Super Max superrtok.com
TANAKA waa.gevgold.com
NSD www.nsderxd.com
Etoro www.juavk.com
璋霖 dl.tspkf.top
TRX www.trxbinvxn.com
Walmart www.walmert.top
CoinCentury n2top.xcmud.top
Ptt Shop www.pretty-my.com
佰樂納 laliquiere.com
維也納 www.vien777.com
Rakuten樂天商城 rakutengg.com
FULLFR www.fullerneiuo.com
Bitstamp d.apkvey3.top
WeCash dgone.pleroma.live
KNNEX www.knnexat.com
任遠 m.ffsao.top/h509
LMS系統 www.lmstotys.com
BTF bizoc.btfinnetw.top
MATIC mekxre.com
Gate.io vip.gaifuny.com
WEB3 web3.coinivs.com
CoinBase bit.coin-mn.com
股市大咖秀 live.baadx.com/rk
Etherscan ethplusrun.com
聚祥 app.djgfskyv.com
第一資本 www.waosgfg.com
DigitMin p8.icrowntradingmixed.top
PU Markets Ltd www.popumore.com
財星娛樂 yomr3.rovxqkl.com/1wuyw
智匯國際 www.zkuok.com
Bit Token bingtrcy.com
imTron austyn.imtrone.com
Coinmama www.coin-mama.com
FC www.fcjadch.vip
MKAD fg.mkads.top
Tian FX www.titanekc.com
唯品會 www.vipshop05.com
Louis www.louiexs.com
UBS www.ubs-ex.com
MetaMask hs2016hs02.top
Uswap Tube www.utubeap.vip
Mexc Global www.mexglobal.wiki
BingBon binbons.com
KuCoin kucoin.kucotrain.com
時富證券 celestialtrades.com
Liquid Asset Managent sss.liquisojt.com
Candy Crush candycrush.fun
偉享證券 weshinec.com
Xitcue ser.xitca.website
Ouger Shop www.ouger-shop.com
創優富 www.sahduiw.com
ZB www.zbzbks.cc
PCHome onlytoppc24.com/ucy9mf2
六和 m.vypqi.top/h509
天利 app.fvwhkjaijd.com
四海石化 www.sihaipoe.com
CNLSA quant.cnlsa.net
MyCoin mycoinps88.net
東森購物 reziti.com
銀獅證券 slstocks.com
Polyx polyx.ink
MaxCoin web.goidx.co
CFD sfa.gevgold.com
利興股票 lehinequities.com
Fundrock fundrockcoin.com
Block Chain www.blocktsimax.com
FX6 fx6.email-contact.vip
Crex24 www.crex24oi.com
華禹證券 huayushares.com
Acetop m.acetop-forex.com
名府學院 www.mfxyi.com
Rootrex www.rootrexex.top
E富電商 www.faizoeker.com
GBAY gobaynop.top
MetaBit metabit.metbito.com
Ryder www.rydermall.net
統一投顧 pcmnets.com
樂購 www.sgpwlm.vip
Bit2C-EX bit2cex.com
澳門銀河 amyh138.com
CIP cip2u.com
聯博 app.lkhaxs.top
FT mm2.dt866.net
Bit-Bank www.5f1e.site
KEZAR mkp.kezarx.com
台灣大眾商品交易市場 828229.site
easyMarkets www.easymarkets.bond
Genesis Block nxf.genesbo.com
亞博國際 rb1788.com
GHGW www.rfndg.com
ETH-Mining qualitydearndefi.com
BITEX biteuse.com
Tbshop vip3.cbyaskf.com
恒齊財富 www.cnhqcf.com
Tea Museum ourteashow.com
BYBIT www.bitbyac.com
益惠商品 yihui-goods.com
康普 konboos.com
Coin Dax coiretuia.com
凱基 kgi2.vip
富邦臺彩 www.fifubangl.com
TopFutures www.topbitqdw.com
Trade Nation trader.tradenationxm.com
NYSE nyse.usacrypto.top
Grayscale gra-amm.com
GS Lottery gs1658.com
福匯金融 www.kthhe.com
Harrods www.harorde.com
臺灣交易所 www.mlcgroups.com
HOTEL newhoteccaq.com
領達利 app.ncxkbnd.com
Edc world paxos.vip
UTRADE TW down.changimb.com
宏潤證券 mrcfinancials.com
TIAN-EX titanwde.com
AEXBANK patmu.bstustb.com
財證商學---集友社 commercial.pub
Im Tron mckenzie.imtrone.com
瀚亞證券 gengstock.com
BITO bitos.work
ONE極先鋒 www.vbjksfi.com
DEX dex666.top
TSE teshwbv.com
Polyx www.polyxex.com
樂匯優購 www.pozion-shop.com
CoinBase bit.coin-en.net
濱海灣金沙集團 www.bhwjs258.com
USDC www.usdc-vip.com
